test first stage (check): NDCG@10 0.57545  MRR@10 0.52798
train first stage: NDCG@10 0.71098  MRR@10 0.67488
  train k=1  alpha=0.05  NDCG@10 0.70968  MRR@10 0.67398
  train k=1  alpha=0.1   NDCG@10 0.70755  MRR@10 0.67264
  train k=1  alpha=0.2   NDCG@10 0.70491  MRR@10 0.67048
  train k=1  alpha=0.3   NDCG@10 0.70034  MRR@10 0.66711
  train k=1  alpha=0.5   NDCG@10 0.69334  MRR@10 0.66208
  train k=1  alpha=0.75  NDCG@10 0.68709  MRR@10 0.65757
  train k=1  alpha=1.0   NDCG@10 0.68194  MRR@10 0.65383
  train k=1  alpha=1.5   NDCG@10 0.67482  MRR@10 0.64871
  train k=1  alpha=2.0   NDCG@10 0.67048  MRR@10 0.64553
  train k=2  alpha=0.05  NDCG@10 0.71021  MRR@10 0.67453
  train k=2  alpha=0.1   NDCG@10 0.70928  MRR@10 0.67389
  train k=2  alpha=0.2   NDCG@10 0.70797  MRR@10 0.67301
  train k=2  alpha=0.3   NDCG@10 0.70609  MRR@10 0.67192
  train k=2  alpha=0.5   NDCG@10 0.70303  MRR@10 0.67000
  train k=2  alpha=0.75  NDCG@10 0.70009  MRR@10 0.66827
  train k=2  alpha=1.0   NDCG@10 0.69773  MRR@10 0.66700
  train k=2  alpha=1.5   NDCG@10 0.69452  MRR@10 0.66528
  train k=2  alpha=2.0   NDCG@10 0.69300  MRR@10 0.66442
  train k=3  alpha=0.05  NDCG@10 0.70878  MRR@10 0.67291
  train k=3  alpha=0.1   NDCG@10 0.70726  MRR@10 0.67144
  train k=3  alpha=0.2   NDCG@10 0.70447  MRR@10 0.66846
  train k=3  alpha=0.3   NDCG@10 0.70153  MRR@10 0.66525
  train k=3  alpha=0.5   NDCG@10 0.69706  MRR@10 0.66031
  train k=3  alpha=0.75  NDCG@10 0.69083  MRR@10 0.65295
  train k=3  alpha=1.0   NDCG@10 0.68290  MRR@10 0.64369
  train k=3  alpha=1.5   NDCG@10 0.67088  MRR@10 0.62957
  train k=3  alpha=2.0   NDCG@10 0.66084  MRR@10 0.61737
  train k=5  alpha=0.05  NDCG@10 0.70852  MRR@10 0.67278
  train k=5  alpha=0.1   NDCG@10 0.70632  MRR@10 0.67079
  train k=5  alpha=0.2   NDCG@10 0.70290  MRR@10 0.66667
  train k=5  alpha=0.3   NDCG@10 0.69980  MRR@10 0.66320
  train k=5  alpha=0.5   NDCG@10 0.69129  MRR@10 0.65209
  train k=5  alpha=0.75  NDCG@10 0.68120  MRR@10 0.64000
  train k=5  alpha=1.0   NDCG@10 0.67135  MRR@10 0.62817
  train k=5  alpha=1.5   NDCG@10 0.64991  MRR@10 0.60145
  train k=5  alpha=2.0   NDCG@10 0.63286  MRR@10 0.57979
  train k=10 alpha=0.05  NDCG@10 0.70856  MRR@10 0.67222
  train k=10 alpha=0.1   NDCG@10 0.70702  MRR@10 0.67057
  train k=10 alpha=0.2   NDCG@10 0.70197  MRR@10 0.66437
  train k=10 alpha=0.3   NDCG@10 0.69702  MRR@10 0.65904
  train k=10 alpha=0.5   NDCG@10 0.68686  MRR@10 0.64713
  train k=10 alpha=0.75  NDCG@10 0.67166  MRR@10 0.62935
  train k=10 alpha=1.0   NDCG@10 0.65735  MRR@10 0.61277
  train k=10 alpha=1.5   NDCG@10 0.62787  MRR@10 0.57814
  train k=10 alpha=2.0   NDCG@10 0.60089  MRR@10 0.54735
  train k=20 alpha=0.05  NDCG@10 0.70774  MRR@10 0.67182
  train k=20 alpha=0.1   NDCG@10 0.70598  MRR@10 0.66948
  train k=20 alpha=0.2   NDCG@10 0.70064  MRR@10 0.66384
  train k=20 alpha=0.3   NDCG@10 0.69548  MRR@10 0.65851
  train k=20 alpha=0.5   NDCG@10 0.68353  MRR@10 0.64502
  train k=20 alpha=0.75  NDCG@10 0.66626  MRR@10 0.62637
  train k=20 alpha=1.0   NDCG@10 0.64843  MRR@10 0.60672
  train k=20 alpha=1.5   NDCG@10 0.60942  MRR@10 0.56291
  train k=20 alpha=2.0   NDCG@10 0.57423  MRR@10 0.52410
best on train: k=2 alpha=0.05  NDCG@10 0.71021 (first stage 0.71098)
